#separator:Tab
#html:false
#notetype:Cloze
#deck:AI-infra-chunks::grammar-feedback
#columns:Text	Back Extra
In {{c1::the}} verifying phase, the model proposes a fix.	Countable singular noun needs an article. You wrote: "In verifying phase".
Fix it if there is a mistake in {{c1::the}} transcription.	Specific, already-mentioned noun → "the".
It's fine to push directly to {{c1::the}} main branch.	Specific branch → "the". You wrote: "to main branch".
Issue #171 is actually {{c1::an}} error in sentence splitting.	Singular countable noun → a/an; vowel sound → "an".
If the LLM {{c1::thinks}} there is a mistake, it fixes it.	3rd-person singular present adds -s. You wrote: "if LLM think".
The sentence was {{c1::split}} into two parts.	Irregular verb: split / split / split. Never "splited".
We should fix it in the {{c1::splitting}} phase.	split → splitting (double the t). You wrote: "spliting".
Fix the transcription if it {{c1::is}} wrong.	Present tense for a general rule. You wrote: "if it was wrong".
Issue #171 {{c1::is actually}} a splitting error.	Adverb goes AFTER "be": "is actually", not "actually is".
It's ok to {{c1::push directly}} to main.	Adverb after the verb: "push directly", not "directly push".
Each reference gets two tries, so use the other two {{c1::references}}.	Plural noun after "two". You wrote: "two reference".
I tried these abbreviations {{c1::on}} the Fish Audio website.	We say "on a website", not "in".
Please rerun the TTS {{c1::for}} this sentence.	"for / on this sentence", not "of".
I got the correct {{c1::pronunciation}} for all of them.	pronunciation = how a word is said; "voice" = the timbre. You wrote: "correct voice".
{{c1::Finally}}, the verifier should also repair the text.	"Finally/Lastly" for the last item in a list; "At last" = relief after a long wait.
Spelling to fix: {{c1::verifying}}, {{c2::reference}}, {{c3::repository}}.	You wrote: verifing / refernece / respository.
